species,herbarium,collectnum,petalexsertion
folkii,MEXU ..72,Lyonnet 3993,0
folkii,MEXU ..73,Lyonnet 3641 bis,0
folkii,MEXU ..73,Lyonnet 3641 bis,0
folkii,MEXU ..73,Lyonnet 3641 bis,0
folkii,MEXU ..74,Hinton 18855,0
folkii,MEXU ..74,Hinton 18855,0
folkii,MEXU ..74,Hinton 18855,0
folkii,MO Mexico ..38,Clark 6749,0
folkii,MO Mexico ..38,Clark 6749,0
folkii,MO Mexico ..38,Clark 6749,0
folkii,TEX ..56,Hinrickson 16116,0
folkii,TEX ..56,Hinrickson 16116,0
folkii,TEX ..56,Hinrickson 16116,0
folkii,TEX ..57,Hinton 20302,0
folkii,TEX ..57,Hinton 20302,0
folkii,TEX ..57,Hinton 20302,0
folkii,TEX ..58,Ginzbarg 161,0
folkii,TEX ..58,Ginzbarg 161,0
folkii,TEX ..58,Ginzbarg 161,0
folkii,TEX ..59,McDonald 1745,0
folkii,TEX ..59,McDonald 1745,0
folkii,WIS ..93,McDonald 1745,0
folkii,WIS ..93,McDonald 1745,0
folkii,WIS ..93,McDonald 1745,0
